アサマフウロ
アカモノ
アルニカ・モンタナ
アオノツガザクラ
アキノキリンソウ
アサギリソウ
アツモリソウ
アブラガヤ
アンドロサケ・カルネア
イワツメクサ
イブキジャコウソウ
イワギキョウ
イワシモツケ
イワショウブ
イブキトラノオ
イリス・ブレヤナ
イワイチョウ
イワオウギ
イワツツジ
イワヒゲ
イワウメ
イワベンケイ
イワヤツデ
インカルビレア・ゾンディアネンシス
ウメバチキンポウゲ
ウルップソウ
ウサギギク
ウツボグサ
ウメハタザオ
ウラシマツツジ
ウラジロキンバイ
ウリハダカエデ
ウラジロヨウラク
エゾノツガザクラ
エゾアジサイ
エンビセンノウ
エーデルワイス
エゾリンドウ
エゾルリソウ
エンレイソウ
オオバキスミレ
オキナグサ
オオコメツツジ
オニアザミ
オトギリソウ
オヤマリンドウ
オヤマボクチ
オミナエシ
オオイタドリ
オオカメノキ
オオバナエンレイソウ
オオバギボウシ
オオバミゾホオズキ
オニシモツケ
オトメユリ
オノエマンテマ
カライトソウ
カルリナ・アコーリス
ガンコウラン
カンパニュラ・プラ
カラフトダイコンソウ
キンコウカ
キバナカワラマツバ
カンパヌラ・シェウキツェリ
エチゴキジムシロ
キヌガサソウ
キバナイカリソウ
キバナシャクナゲ
キバナヤマオダマキ
キリガミネヒオウギアヤメ
キリンソウ
光岳キリンソウ
ギンリョウソウ
クロユリ
クリンソウ
クガイソウ
クロマメノキの実
ゲウム・リヴァレ
クサボタン
クルマユリ
クロウスゴ
コウゾリナ
コイワカガミ
コマクサ
ゴゼンタチバナ
コウゾリナ
コオニユリ
ゴマナ
コウメバチソウ
コバイケイソウ
ザゼンソウ
ササユリ
サラサドウダン
サラシナショウマ
サルビア・サブパルマチネルビス
サワギキョウ
ショウジョウバカマ
シナノキンバイ
シラネアオイ
シコタンソウ
シモツケソウ
シシウド
シナノナデシコ
シラタマノキの実
シノポドフィラム・ヘキサンドルム
シュロソウ
シロウマアサツキ
白花フジアザミ
シロバナヘビイチゴ
ヒメイトシャジン
サンカヨウ
センジュガンピ
タカネナデシコ
タニウツギ
タマガワホトトギス
タムラソウ
タカネツメクサ
タカネマツムシソウ
タカネグンナイフウロ
タカネバラ
タテヤマウツボグサ
タテヤマリンドウ
タニウツギ
タマシャジン
タムシバ
トキワヒメハギ
ナナカマド
チョウノスケソウ
